step,train_loss,val_loss,lr,temperature,grad_norm,sec_per_step
317,4.2780,4.4889,3.180e-04,0.0707,3.544,0.124
318,4.3664,4.4889,3.190e-04,0.0707,3.105,0.155
319,4.2834,4.4889,3.200e-04,0.0707,3.025,0.127
320,4.2368,4.4889,3.210e-04,0.0707,3.307,0.138
321,4.5537,4.4889,3.220e-04,0.0707,4.570,0.122
322,4.1896,4.4889,3.230e-04,0.0707,3.719,0.133
323,4.3933,4.4889,3.240e-04,0.0707,3.712,0.128
324,4.4220,4.4889,3.250e-04,0.0707,4.817,0.128
325,4.4534,4.4889,3.260e-04,0.0707,3.888,0.148
326,4.4576,4.4889,3.270e-04,0.0707,2.863,0.122
327,4.3274,4.4889,3.280e-04,0.0707,3.365,0.095
328,4.2686,4.4889,3.290e-04,0.0707,3.003,0.182
329,4.3542,4.4889,3.300e-04,0.0707,2.918,0.096
330,4.2305,4.4889,3.310e-04,0.0707,3.048,0.147
331,4.4644,4.4889,3.320e-04,0.0707,3.704,0.111
332,4.3778,4.4889,3.330e-04,0.0707,3.617,0.155
333,4.4611,4.4889,3.340e-04,0.0707,3.568,0.109
334,4.3139,4.4889,3.350e-04,0.0707,2.968,0.153
335,4.3657,4.4889,3.360e-04,0.0708,3.831,0.108
336,4.1749,4.4889,3.370e-04,0.0707,2.757,0.144
337,4.2599,4.4889,3.380e-04,0.0707,2.924,0.111
338,4.3491,4.4889,3.390e-04,0.0707,4.202,0.161
339,4.4130,4.4889,3.400e-04,0.0707,3.496,0.113
340,4.5023,4.4889,3.410e-04,0.0707,4.453,0.161
341,4.4021,4.4889,3.420e-04,0.0708,3.129,0.130
342,4.3116,4.4889,3.430e-04,0.0708,3.002,0.139
343,4.2529,4.4889,3.440e-04,0.0708,2.776,0.118
344,4.2605,4.4889,3.450e-04,0.0708,2.710,0.144
345,4.2740,4.4889,3.460e-04,0.0708,3.908,0.118
346,4.2791,4.4889,3.470e-04,0.0708,2.954,0.132
347,4.4222,4.4889,3.480e-04,0.0708,3.409,0.112
348,4.2709,4.4889,3.490e-04,0.0708,3.499,0.150
349,4.4545,4.4889,3.500e-04,0.0708,3.443,0.106
350,4.3990,4.4889,3.510e-04,0.0708,3.131,0.140
351,4.3190,4.4889,3.520e-04,0.0708,3.165,0.125
352,4.4009,4.4889,3.530e-04,0.0708,3.378,0.118
353,4.3378,4.4889,3.540e-04,0.0708,2.688,0.156
354,4.3626,4.4889,3.550e-04,0.0708,3.199,0.133
355,4.2361,4.4889,3.560e-04,0.0708,3.425,0.119
356,4.2844,4.4889,3.570e-04,0.0708,2.646,0.128
357,4.3379,4.4889,3.580e-04,0.0708,3.519,0.116
358,4.2092,4.4889,3.590e-04,0.0708,4.522,0.132
